Navigation type,Title,Is enabled,URL                                                                                                                                         ,Comment
People,Cultural ministry,1,http://www.culture.fr/bases_genealogie/resultats?lastname=%(surname)s&firstname=%(given)s&search=Lancer+la+recherche&bases[]=bigenet&bases[]=ecfa&bases[]=mayenne&bases[]=vendome&bases[]=leonore&bases[]=ain&bases[]=memoire_des_hommes&bases[]=vendee,
People,Genealogical bank,1,https://gbkcouples.geneabank.org/nom/?name=%(surname)s&place=&start=&end=&source=gbk*,
People,Historical Families Center,0,http://www.cdhf.net/fr/index.php?t=bases&d=bases%2Fmoteurpat&c=moteurpat&f=selection&p=&order=&order2=&motcle=&patronyme=%(surname)s,
People,Geneanet,1,https://search.geneanet.org/result.php?lang=fr&name=%(surname)s,
People,Filae,1,https://www.filae.com/v4/genealogie/Search.mvc/SearchForm?ln=%(surname)s&fn=%(given)s,
People,Geneanet (favrejhas),0,http://gw1.geneanet.org/index.php3?b=favrejhas&m=NG&n=%(surname)s&t=N&x=0&y=0,
People,Roglo,1,http://roglo.eu/roglo?m=NG&n=%(given)s+%(surname)s&t=PN,
People,Cyber Genealogy,1,https://www.cybergenealogie.fr/cailgeo/fr/cail01n.php?nomr=%(surname)s,
People,Gallica (search SRU),1,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=((text all ""%(surname)s"" prox/unit=word/distance=1 ""%(given)s""))",
People,Gallica (search),1,"https://gallica.bnf.fr/Search?ArianeWireIndex=index&p=1&lang=FR&q=""%(surname)s,+%(given)s""",
People,RetroNews,1,https://www.retronews.fr/search#allTerms=%(surname)s&sort=score&page=1&searchIn=all,
People,GeneaBook,1,https://www.geneanet.org/fonds/bibliotheque/?&nom=%(surname)s&prenom=&q=%(given)s&go=1,
People,Google Archives,0,http://news.google.fr/archivesearch?q=%(surname)s&btnGt=Afficher+la+chronologie,
People,Google,0,"http://www.google.fr/#hl=fr&q=""%(surname)s,+%(given)s""",
People,Hathi Trust,1,"https://babel.hathitrust.org/cgi/ls?q1=%(surname)s+%(given)s+&lmt=ft&a=srchls&facet=language008_full:""French""",
People,Open Library,1,"https://openlibrary.org/search?q=""%(surname)s, %(given)s""&language=fre'",
Places,Geneanet,1,http://search.geneanet.org/result.php?lang=fr&place=%(place)s,
Places,Historical Families Center,1,http://www.cdhf.net/fr/index.php?t=villages&d=villages&c=villages&f=results&p=&page=&lieu2=%(place)s,
Places,Gallica (places),1,http://gallica.bnf.fr/Search?ArianeWireIndex=index&p=1&lang=FR&q=%(place)s,
Sources,Gallica (sources),1,http://gallica.bnf.fr/Search?ArianeWireIndex=index&p=1&lang=FR&q=%(source_title)s,
Sources,Google books,1,https://www.google.fr/search?tbs=bks:1&q=%(source_title)s,
