Navigation type,Title,Is enabled,URL                                                                                                                                         ,Comment
People,OBD Memorial,1,https://obd-memorial.ru/html/search.htm?f=%(surname)s&n=%(given)s&s=&y=%(birth_year)s&r=,
People,People Memory,1,https://pamyat-naroda.ru/heroes/?adv_search=y&last_name=%(surname)s&first_name=%(given)s&middle_name=%(middle)s&date_birth=%(birth_year)s&group=all&types=pamyat_commander:nagrady_nagrad_doc:nagrady_uchet_kartoteka:nagrady_ubilein_kartoteka:pamyat_voenkomat:potery_vpp:pamyat_zsp_parts:kld_upk:kld_vmf:potery_doneseniya_o_poteryah:potery_gospitali:potery_utochenie_poter:potery_spiski_zahoroneniy:potery_voennoplen:potery_iskluchenie_iz_spiskov&page=1,
People,Winners,1,https://www.pobediteli.ru/veteran-search/index.html?charset=utf-8&flag=&region=&district=&mode=lastname&q=%(surname)s+%(given)s,
People,Lived,1,"https://prozhito.org/persons?keyword=\""%(surname)s+%(given)s\""",
People,Open List,1,https://ru.openlist.wiki/Служебная:OlSearch?olsearch-name=%(surname)s+%(given)s&olsearch-birth_min=%(birth_year_from)s&olsearch-birth_max=%(birth_year_to)s&olsearch-death_min=%(death_year_from)s&olsearch-death_max=%(death_year_to)s&olsearch-birthplace=&olsearch-liveplace=&olsearch-nationality=&olsearch-social=&olsearch-profession=&olsearch-deathplace=&olsearch-burialplace=&olsearch-body=&olsearch-categories=&olsearch-arrest_min=&olsearch-arrest_max=&olsearch-indictment=&olsearch-conviction_min=&olsearch-conviction_max=&olsearch-conviction-org=&olsearch-sentence=&olsearch-detentionplace=&olsearch-release_min=&olsearch-release_max=&olsearch-execution_min=&olsearch-execution_max=&olsearch-archive-case-number=&olsearch-run=1&olsearch-advform=1#OlSearch-results-caption,
People,Wait For Me,1,https://poisk.vid.ru/?lname=%(surname)s&fname=%(given)s&id_let=&p=10&view=18&age_1=1&age_2=99&searched=НАЙТИ,
People,VGD (forum),1,https://vgd.ru/search/index.php?q=%(surname)s&x=0&y=0&tu=0,
People,Yandex People,1,https://yandex.ru/people/search?text=%(surname)s+%(given)s&ps_age=%(birth_year)s,
People,OK,1,https://ok.ru/search/profiles/%(surname)s %(given)s %(birth_year)s,
People,RIA Officers,1,http://www.ria1914.info/index.php?title=Служебная:Поиск&search=%(surname)s+%(given)s,
People,FamilySpace,1,https://arc.familyspace.ru/catalog/%(surname)s %(given)s,
