Navigation type,Title,Is enabled,URL,Comment
*,Telegram. ukr_free_genealogy,1,https://t.me/ukr_free_genealogy,Оновлення про архівні документи
*,Telegram. ukr_free_gen_tereveni,1,https://t.me/ukr_free_gen_tereveni,Чат дослідників і любителів родоводу
*,Telegram. spravnakachka,1,https://t.me/spravnakachka,Моніторинг нових оцифрованих справ
*,Telegram. genealogy_ua,1,https://t.me/genealogy_ua,Вільна українська генеалогічна спільнота
*,Telegram. mk_genealogy,1,https://t.me/mk_genealogy,Канал про сімейну історію
*,Telegram. familytreeua,1,https://t.me/familytreeua,Професійні генеалогічні дослідження
*,Telegram. prashhur,1,https://t.me/prashhur,Канал центру вивчення родоводу
*,Facebook. nashipredky,1,https://www.facebook.com/groups/nashipredky,Діаспора: обмін досвідом родоводу
*,Facebook. UAGenealogy,1,https://www.facebook.com/groups/UAGenealogy,Пошук українського коріння
*,Facebook. ourukrainiandna,1,https://www.facebook.com/groups/ourukrainiandna,Обмін ДНК-дослідженнями українців
*,Facebook. genealogy4all,1,https://www.facebook.com/groups/836061243187500,Допомога новачкам у генеалогії
*,Facebook. fotokomora,1,https://www.facebook.com/groups/fotokomora,Розбір родинних фото
*,Facebook. zakarliuka,1,https://www.facebook.com/groups/zakarliuka,Розшифровка старих документів
*,Facebook. genealogia_katalog,1,https://www.facebook.com/groups/502963204384298,Оновлення каталогу метричних книг
*,Facebook. oldodessa,1,https://www.facebook.com/groups/oldodessa,Фотоісторія Одеси та містян
*,Facebook. mennonite_genealogy,1,https://www.facebook.com/groups/MennoniteGenealogyHistory,Менонітські роди з України
