Navigation type,Title,Is enabled,URL                                                                                                                                         ,Comment
People,Archieven,1,https://www.archieven.nl/nl/zoeken?mivast=0&miadt=0&mizig=310&miview=tbl&milang=nl&micols=1&mip3=%(surname)s&mip1=%(given)s,
People,Open Archives,1,https://www.openarch.nl/search.php?name=%(surname)s,
People,Genealogy Online,1,https://www.genealogieonline.nl/zoeken/index.php?q=%(surname)s&vn=%(given)s,
People,National Archive,1,https://www.nationaalarchief.nl/onderzoeken/zoeken?searchTerm=%(surname)s+%(given)s,
People,Delpher,1,https://www.delpher.nl/nl/platform/results?query=%(surname)s+PROX+%(given)s+&coll=platform,
People,Who Searches Who,1,https://www.stamboomforum.nl/wiezoektwie/zoeken.php?q=%(surname)s,
People,FamilySearch,1,https://www.familysearch.org/search/record/results?givenname=%(given)s&surname=%(surname)s&surname_exact=on&birth_year_from=%(birth_year_from)s&birth_year_to=%(birth_year_to)s&death_year_from=%(death_year_from)s&death_year_to=%(death_year_to)s&record_country=Netherlands,
People,GeneaNet,1,https://nl.geneanet.org/fonds/individus/?go=1&nom=%(surname)s&prenom=%(given)s,
People,Stamboomzoeker,1,https://www.stamboomzoeker.nl/?a=search&fn=%(given)s&sn=%(surname)s&m=1&bd1=0&bd2=2020&bp=&t=1&submit=Zoeken,
People,GenDex,1,https://gendexnetwork.org,
People,WieWasWie,1,https://www.wiewaswie.nl/nl/zoeken/,
People,Mensenlinq,1,https://mensenlinq.nl/overlijdensberichten/?passed_at_from=&passed_at_until=&lastname=%(surname)s&firstname=%(given)s&filtered=true,
People,GENi,1,https://www.geni.com/search?names=%(given)s+%(surname)s,
People,Find A Grave,1,https://nl.findagrave.com/memorial/search?firstname=%(given)s&middlename=&lastname=%(surname)s,
People,Hilversum GenWiki,1,http://www.hilversum.genwiki.net/search.php?myfirstname=%(given)s&mylastname=%(surname)s&mypersonid=&idqualify=equals,
People,CBG,1,https://cbg.nl/#q=%(given)s %(surname)s,
People,AlleFriezen,1,"https://allefriezen.nl/zoeken/persons?ss={\""q\"":\""%(given)s %(surname)s\""}",
